id,lig_id,lig_name,formula,mol_weight,inchi_key
,HG,MERCURY (II) ION,HG 2,200.59,BQPIGGFYSBELGY-UHFFFAOYSA-N
,NAG,N-ACETYL-D-GLUCOSAMINE,C8 H15 N O6,221.21,OVRNDRQMDRJTHS-FMDGEEDCSA-N
,RET,RETINAL,C20 H28 O,284.44,NCYCYZXNIZJOKI-OVSJKPMPSA-N
,ZN,ZINC ION,ZN 2,65.41,PTFCDOFLOPIGGS-UHFFFAOYSA-N
,MAN,ALPHA-D-MANNOSE,C6 H12 O6,180.16,WQZGKKKJIJFFOK-PQMKYFCFSA-N
,ACE,ACETYL GROUP,C2 H4 O,44.05,IKHGUXGNUITLKF-UHFFFAOYSA-N
,BMA,BETA-D-MANNOSE,C6 H12 O6,180.16,WQZGKKKJIJFFOK-RWOPYEJCSA-N
,C8E,(HYDROXYETHYLOXY)TRI(ETHYLOXY)OCTANE,C16 H34 O5,306.44,FEOZZFHAVXYAMB-UHFFFAOYSA-N
,LDA,LAURYL DIMETHYLAMINE-N-OXIDE,C14 H31 N O,229.4,SYELZBGXAIXKHU-UHFFFAOYSA-N
,PEF,DI-PALMITOYL-3-SN-PHOSPHATIDYLETHANOLAMINE,C37 H74 N O8 P,691.96,SLKDGVPOSSLUAI-PGUFJCEWSA-N
,PLM,PALMITIC ACID,C16 H32 O2,256.42,IPCSVZSSVZVIGE-UHFFFAOYSA-N
,BNG,B-NONYLGLUCOSIDE,C15 H30 O6,306.39,QFAPUKLCALRPLH-UXXRCYHCSA-N
,HTO,"HEPTANE-1,2,3-TRIOL",C7 H16 O3,148.2,HXYCHJFUBNTKQR-RNFRBKRXSA-N
,HTG,HEPTYL 1-THIOHEXOPYRANOSIDE,C13 H26 O5 S,294.41,HPEGNLMTTNTJSP-LBELIVKGSA-N
,NDG,2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE,C8 H15 N O6,221.21,OVRNDRQMDRJTHS-PVFLNQBWSA-N
,12P,DODECAETHYLENE GLYCOL,C24 H50 O13,546.65,WRZXKWFJEFFURH-UHFFFAOYSA-N
,ACM,ACETAMIDE,C2 H5 N O,59.07,DLFVBJFMPXGRIB-UHFFFAOYSA-N
,BU1,"1,4-BUTANEDIOL",C4 H10 O2,90.12,WERYXYBDKMZEQL-UHFFFAOYSA-N
,CAU,(2S)-1-(9H-CARBAZOL-4-YLOXY)-3-(ISOPROPYLAMINO)PROPAN-2-OL,C18 H22 N2 O2,298.38,BQXQGZPYHWWCEB-ZDUSSCGKSA-N
,CLR,CHOLESTEROL,C27 H46 O,386.65,HVYWMOMLDIMFJA-DPAQBDIFSA-N
,MAL,MALTOSE,C12 H22 O11,342.3,GUBGYTABKSRVRQ-ASMJPISFSA-N
,SO4,SULFATE ION,O4 S -2,96.06,QAOWNCQODCNURD-UHFFFAOYSA-L
,D10,DECANE,C10 H22,142.28,DIOQZVSQGTUSAI-UHFFFAOYSA-N
,P32,4-{[(2S)-3-(TERT-BUTYLAMINO)-2-HYDROXYPROPYL]OXY}-3H-INDOLE-2-CARBONITRILE,C16 H21 N3 O2,287.36,CQEFAUFOQSCRMZ-LBPRGKRZSA-N
,SOG,"2-HYDROXYMETHYL-6-OCTYLSULFANYL-TETRAHYDRO-PYRAN-3,4,5-TRIOL",C14 H28 O5 S,308.43,CGVLVOOFCGWBCS-RGDJUOJXSA-N
,ACT,ACETATE ION,C2 H3 O2 -1,59.04,QTBSBXVTEAMEQO-UHFFFAOYSA-M
,BOG,B-OCTYLGLUCOSIDE,C14 H28 O6,292.37,HEGSGKPQLMEBJL-RKQHYHRCSA-N
,LPP,2-(HEXADECANOYLOXY)-1-[(PHOSPHONOOXY)METHYL]ETHYL HEXADECANOATE,C35 H69 O8 P,648.89,PORPENFLTBBHSG-MGBGTMOVSA-N
,2CV,HEGA-10,C18 H37 N O7,379.49,ITEIKACYSCODFV-ATLSCFEFSA-N
,Y00,DOBUTAMINE,C18 H23 N O3,301.38,JRWZLRBJNMZMFE-CYBMUJFWSA-N
,Y01,CHOLESTEROL HEMISUCCINATE,C31 H50 O4,486.73,WLNARFZDISHUGS-MIXBDBMTSA-N
,WHJ,CARMOTEROL,C21 H24 N2 O4,368.43,IHOXNOQMRZISPV-YJYMSZOUSA-N
,5FW,ISOPRENALINE,C11 H17 N O3,211.26,JWZZKOKVBUJMES-NSHDSACASA-N
,68H,SALBUTAMOL,C13 H21 N O3,239.31,NDAUXUAQIAJITI-LBPRGKRZSA-N
,I32,4-{[(2S)-3-(TERT-BUTYLAMINO)-2-HYDROXYPROPYL]OXY}-3-IODO-1H-INDOLE-2-CARBONITRILE,C16 H20 I N3 O2,413.25,JBLUMBNIBNHRSO-JTQLQIEISA-N
,ADN,ADENOSINE,C10 H13 N5 O4,267.24,OIRDTQYFTABQOQ-KQYNXXCUSA-N
,NEC,N-ETHYL-5'-CARBOXAMIDO ADENOSINE,C12 H16 N6 O4,308.29,JADDQZYHOWSFJD-FLNNQWSLSA-N
,TWT,DOCOSANE,C22 H46,310.6,HOWGUJZVBDQJKV-UHFFFAOYSA-N
,PC1,"1,2-DIACYL-SN-GLYCERO-3-PHOSPHOCHOLINE",C44 H88 N O8 P,790.15,NRJAVPSFFCBXDT-HUESYALOSA-N
,BGL,B-2-OCTYLGLUCOSIDE,C14 H28 O6,292.37,BVHPDIWLWHHJPD-RKQHYHRCSA-N
,OLC,"(2R)-2,3-DIHYDROXYPROPYL (9Z)-OCTADEC-9-ENOATE",C21 H40 O4,356.54,RZRNAYUHWVFMIP-GDCKJWNLSA-N
,TIM,"(2S)-1-(TERT-BUTYLAMINO)-3-[(4-MORPHOLIN-4-YL-1,2,5-THIADIAZOL-3-YL)OXY]PROPAN-2-OL",C13 H24 N4 O3 S,316.42,BLJRIMJGRPQVNF-JTQLQIEISA-N
,STE,STEARIC ACID,C18 H36 O2,284.48,QIQXTHQIDYTFRH-UHFFFAOYSA-N
,ZMA,"4-{2-[(7-AMINO-2-FURAN-2-YL[1,2,4]TRIAZOLO[1,5-A][1,3,5]TRIAZIN-5-YL)AMINO]ETHYL}PHENOL",C16 H15 N7 O2,337.34,PWTBZOIUWZOPFT-UHFFFAOYSA-N
,JRZ,"(2S,3S)-1-[(7-METHYL-2,3-DIHYDRO-1H-INDEN-4-YL)OXY]-3-[(1-METHYLETHYL)AMINO]BUTAN-2-OL",C17 H27 N O2,277.4,VFIDUCMKNJIJTO-XJKSGUPXSA-N
,OLA,OLEIC ACID,C18 H34 O2,282.46,ZQPPMHVWECSIRJ-KTKRTIGZSA-N
,PGE,TRIETHYLENE GLYCOL,C6 H14 O4,150.17,ZIBGPFATKBEMQZ-UHFFFAOYSA-N
,JSZ,ETHYL 4-({(2S)-2-HYDROXY-3-[(1-METHYLETHYL)AMINO]PROPYL}OXY)-3-METHYL-1-BENZOFURAN-2-CARBOXYLATE,C18 H25 N O5,335.39,QVJVMNUTCGTBCH-ZDUSSCGKSA-N
,JTZ,(2S)-1-[(1-METHYLETHYL)AMINO]-3-(2-PROP-2-EN-1-YLPHENOXY)PROPAN-2-OL,C15 H23 N O2,249.35,PAZJSJFMUHDSTF-AWEZNQCLSA-N
,4E6,"(4E,6E)-HEXADECA-1,4,6-TRIENE",C16 H28,220.39,OPBISVRDVDRVHM-PTSVWTKZSA-N
,ID3,"(3E)-4-(2,6,6-TRIMETHYLCYCLOHEX-1-EN-1-YL)BUT-3-EN-2-ONE",C13 H20 O,192.3,PSQYTAPXSHCGMF-BQYQJAHWSA-N
,ITD,"(6,6-DIMETHYL-5,6-DIHYDROIMIDAZO[2,1-B][1,3]THIAZOL-3-YL)METHYL N,N'-DICYCLOHEXYLIMIDOTHIOCARBAMATE",C21 H34 N4 S2,406.65,OOSUDWRRWZVFEB-UHFFFAOYSA-N
,ALN,NAPHTHALEN-2-YL-3-ALANINE,C13 H13 N O2,215.25,OFYAYGJCPXRNBL-LBPRGKRZSA-N
,CIR,CITRULLINE,C6 H13 N3 O3,175.19,RHGKLRLOHDJJDR-BYPYZUCNSA-N
,DPR,D-PROLINE,C5 H9 N O2,115.13,ONIBWKKTOPOVIA-SCSAIBSYSA-N
,GOL,GLYCEROL,C3 H8 O3,92.09,PEDCQBHIVMGVHV-UHFFFAOYSA-N
,P0G,"8-[(1R)-2-{[1,1-DIMETHYL-2-(2-METHYLPHENYL)ETHYL]AMINO}-1-HYDROXYETHYL]-5-HYDROXY-2H-1,4-BENZOXAZIN-3(4H)-ONE",C21 H26 N2 O4,370.44,NWQXBEWHTDRJIP-KRWDZBQOSA-N
,ETQ,3-CHLORO-5-ETHYL-N-{[(2S)-1-ETHYLPYRROLIDIN-2-YL]METHYL}-6-HYDROXY-2-METHOXYBENZAMIDE,C17 H25 CL N2 O3,340.85,AADCDMQTJNYOSS-LBPRGKRZSA-N
,ERC,8-HYDROXY-5-[(1R)-1-HYDROXY-2-({2-[3-METHOXY-4-(3-SULFANYLPROPOXY)PHENYL]ETHYL}AMINO)ETHYL]QUINOLIN-2(1H)-ONE,C23 H28 N2 O5 S,444.54,WAQRESHSGHIXBV-IBGZPJMESA-N
,TRE,TREHALOSE,C12 H22 O11,342.3,HDTRYLNUVZCQOY-LIZSDCNHSA-N
,UKA,"6-(2,2-DIPHENYLETHYLAMINO)-9-[(2R,3R,4S,5S)-5-(ETHYLCARBAMOYL)-3,4-DIHYDROXY-OXOLAN-2-YL]-N-[2-[(1-PYRIDIN-2-YLPIPERIDIN-4-YL)CARBAMOYLAMINO]ETHYL]PURINE-2-CARBOXAMIDE",C40 H47 N11 O6,777.87,ZOTHAEBAWXWVID-HXEFRTELSA-N
,XAC,"N-(2-AMINOETHYL)-2-[4-(2,6-DIOXO-1,3-DIPROPYL-2,3,6,7-TETRAHYDRO-1H-PURIN-8-YL)PHENOXY]ACETAMIDE",C21 H28 N6 O4,428.48,FIQGIOAELHTLHM-UHFFFAOYSA-N
,CFF,CAFFEINE,C8 H10 N4 O2,194.19,RYYVLZVUVIJVGH-UHFFFAOYSA-N
,5EH,"(3E)-3-(DIBENZO[B,E]OXEPIN-11(6H)-YLIDENE)-N,N-DIMETHYLPROPAN-1-AMINE",C19 H21 N O,279.38,ODQWQRRAPPTVAG-GZTJUZNOSA-N
,D7V,"(3Z)-3-(DIBENZO[B,E]OXEPIN-11(6H)-YLIDENE)-N,N-DIMETHYLPROPAN-1-AMINE",C19 H21 N O,279.38,ODQWQRRAPPTVAG-BOPFTXTBSA-N
,PO4,PHOSPHATE ION,O4 P -3,94.97,NBIIXXVUZAFLBC-UHFFFAOYSA-K
,BGC,BETA-D-GLUCOSE,C6 H12 O6,180.16,WQZGKKKJIJFFOK-VFUOTHLCSA-N
,CL,CHLORIDE ION,CL -1,35.45,VEXZGXHMUGYJMC-UHFFFAOYSA-M
,QNB,(3R)-1-AZABICYCLO[2.2.2]OCT-3-YL HYDROXY(DIPHENYL)ACETATE,C21 H23 N O3,337.41,HGMITUYOCPPQLE-IBGZPJMESA-N
,T4G,"6-(2,6-DIMETHYLPYRIDIN-4-YL)-5-PHENYL-1,2,4-TRIAZIN-3-AMINE",C16 H15 N5,277.32,SORFNYWLKDSNNF-UHFFFAOYSA-N
,T4E,"4-(3-AMINO-5-PHENYL-1,2,4-TRIAZIN-6-YL)-2-CHLOROPHENOL",C15 H11 CL N4 O,298.73,ZHUZHTHIEMXLRA-UHFFFAOYSA-N
,ML5,{(3R)-3-AMINO-4-[(3-HEXYLPHENYL)AMINO]-4-OXOBUTYL}PHOSPHONIC ACID,C16 H27 N2 O4 P,342.37,FWJRVGZWNDOOFH-OAHLLOKOSA-N
,LMT,DODECYL-BETA-D-MALTOSIDE,C24 H46 O11,510.61,NLEBIOOXCVAHBD-QKMCSOCLSA-N
,VPX,"ETHYL [(1R,3AR,4AR,6R,8AR,9S,9AS)-9-{(E)-2-[5-(3-FLUOROPHENYL)PYRIDIN-2-YL]ETHENYL}-1-METHYL-3-OXODODECAHYDRONAPHTHO[2,3-C]FURAN-6-YL]CARBAMATE",C29 H33 F N2 O4,492.58,ZBGXUVOIWDMMJE-QHNZEKIYSA-N
,GLY,GLYCINE,C2 H5 N O2,75.07,DHMQDGOQFOQNFH-UHFFFAOYSA-N
,XF5,4-(PIPERAZIN-1-YL)-1H-INDOLE,C12 H15 N3,201.27,YZKSXUIOKWQABW-UHFFFAOYSA-N
,3WC,4-METHYL-2-(PIPERAZIN-1-YL) QUINOLINE,C14 H17 N3,227.3,LCRABWZMGNEZJV-UHFFFAOYSA-N
,G90,2-[(2S)-3-[[1-(1H-INDOL-3-YL)-2-METHYL-PROPAN-2-YL]AMINO]-2-OXIDANYL-PROPOXY]BENZENECARBONITRILE,C22 H25 N3 O2,363.45,FBMYKMYQHCBIGU-SFHVURJKSA-N
,CVD,(2S)-1-(8H-CARBAZOL-4-YLOXY)-3-[2-(2-METHOXYPHENOXY)ETHYLAMINO]PROPAN-2-OL,C24 H26 N2 O4,406.47,OGHNVEJMJSYVRP-KRWDZBQOSA-N
,MHA,(CARBAMOYLMETHYL-CARBOXYMETHYL-AMINO)-ACETIC ACID,C6 H10 N2 O5,190.15,QZTKDVCDBIDYMD-UHFFFAOYSA-N
,0HK,"(1R,2R,4S,5S,7S)-7-{[HYDROXY(DITHIOPHEN-2-YL)ACETYL]OXY}-9,9-DIMETHYL-3-OXA-9-AZONIATRICYCLO[3.3.1.0~2,4~]NONANE",C19 H22 N O4 S2 1,392.51,LERNTVKEWCAPOY-DZZGSBJMSA-N
,CIT,CITRIC ACID,C6 H8 O7,192.12,KRKNYBCHXYNGOX-UHFFFAOYSA-N
,JDC,"(3R)-7-HYDROXY-N-{(2S)-1-[(3R,4R)-4-(3-HYDROXYPHENYL)-3,4-DIMETHYLPIPERIDIN-1-YL]-3-METHYLBUTAN-2-YL}-1,2,3,4-TETRAHYDROISOQUINOLINE-3-CARBOXAMIDE",C28 H39 N3 O3,465.63,ZLVXBBHTMQJRSX-VMGNSXQWSA-N
,PEG,DI(HYDROXYETHYL)ETHER,C4 H10 O3,106.12,MTHSVFCYNBDYFN-UHFFFAOYSA-N
,1PE,PENTAETHYLENE GLYCOL,C10 H22 O6,238.28,JLFNLZLINWHATN-UHFFFAOYSA-N
,BF0,"METHYL 4-{[(5BETA,6ALPHA)-17-(CYCLOPROPYLMETHYL)-3,14-DIHYDROXY-4,5-EPOXYMORPHINAN-6-YL]AMINO}-4-OXOBUTANOATE",C25 H32 N2 O6,456.53,PGIBGSVRAVGQMY-OIUZVZFJSA-N
,MPG,"[(Z)-OCTADEC-9-ENYL] (2R)-2,3-BIS(OXIDANYL)PROPANOATE",C21 H40 O4,356.54,JPJYKWFFJCWMPK-GDCKJWNLSA-N
,0NN,"1-BENZYL-N-[3-(1'H,3H-SPIRO[2-BENZOFURAN-1,4'-PIPERIDIN]-1'-YL)PROPYL]-D-PROLINAMIDE",C27 H35 N3 O2,433.59,MAKMQGKJURAJEN-RUZDIDTESA-N
,OLB,"(2S)-2,3-DIHYDROXYPROPYL (9Z)-OCTADEC-9-ENOATE",C21 H40 O4,356.54,RZRNAYUHWVFMIP-QJRAZLAKSA-N
,EJ4,"(4BS,8R,8AS,14BR)-7-(CYCLOPROPYLMETHYL)-5,6,7,8,14,14B-HEXAHYDRO-4,8-METHANO[1]BENZOFURO[2,3-A]PYRIDO[4,3-B]CARBAZOLE-1,8A(9H)-DIOL",C26 H26 N2 O3,414.5,WIYUZYBFCWCCQJ-IFKAHUTRSA-N
,EPE,4-(2-HYDROXYETHYL)-1-PIPERAZINE ETHANESULFONIC ACID,C8 H18 N2 O4 S,238.3,JKMHFZQWWAIEOD-UHFFFAOYSA-N
,2GM,DIHYDROERGOTAMINE,C33 H37 N5 O5,583.68,LUZRJRNZXALNLM-JGRZULCMSA-N
,ERM,ERGOTAMINE,C33 H35 N5 O5,581.66,XCGSFFUVFURLIX-VFGNJEKYSA-N
,1KS,4-FLUORO-N-METHYL-N-{1-[4-(1-METHYL-1H-PYRAZOL-5-YL)PHTHALAZIN-1-YL]PIPERIDIN-4-YL}-2-(TRIFLUOROMETHYL)BENZAMIDE,C26 H24 F4 N6 O,512.5,SZBGQDXLNMELTB-UHFFFAOYSA-N
,PG4,TETRAETHYLENE GLYCOL,C8 H18 O5,194.23,UWHCKJMYHZGTIT-UHFFFAOYSA-N
,1Q5,"3,6-DIMETHYL-N-(PENTAN-3-YL)-2-(2,4,6-TRIMETHYLPHENOXY)PYRIDIN-4-AMINE",C21 H30 N2 O,326.48,VIZBSVDBNLAVAW-UHFFFAOYSA-N
,PGW,"(1R)-2-{[(S)-{[(2S)-2,3-DIHYDROXYPROPYL]OXY}(HYDROXY)PHOSPHORYL]OXY}-1-[(HEXADECANOYLOXY)METHYL]ETHYL (9Z)-OCTADEC-9-ENOATE",C40 H77 O10 P,749.01,PAZGBAOHGQRCBP-HGWHEPCSSA-N
,1WV,"(2S)-2,3-DIHYDROXYPROPYL (7Z)-TETRADEC-7-ENOATE",C17 H32 O4,300.43,LVBAGTJIDOCNIJ-INIZCTEOSA-N
,XQC,"4-[(1R)-1-HYDROXY-2-{[1-(4-HYDROXYPHENYL)-2-METHYLPROPAN-2-YL]AMINO}ETHYL]BENZENE-1,2-DIOL",C18 H23 N O4,317.38,CTXHFGIUMIBAFO-KRWDZBQOSA-N
,ALE,L-EPINEPHRINE,C9 H13 N O3,183.2,UCTWMZQNUQWSLP-VIFPVBQESA-N
,MRV,"4,4-DIFLUORO-N-[(1S)-3-{(3-EXO)-3-[3-METHYL-5-(PROPAN-2-YL)-4H-1,2,4-TRIAZOL-4-YL]-8-AZABICYCLO[3.2.1]OCT-8-YL}-1-PHENYLPROPYL]CYCLOHEXANECARBOXAMIDE",C29 H41 F2 N5 O,513.67,GSNHKUDZZFZSJB-QYOOZWMWSA-N
,IXO,"4-(4,5-DIHYDRO-1,2-OXAZOL-3-YLOXY)-N,N,N-TRIMETHYLBUT-2-YN-1-AMINIUM",C10 H17 N2 O2 1,197.25,WXXOCGISBCTWPW-UHFFFAOYSA-N
,2CU,"3-AMINO-5-CHLORO-N-CYCLOPROPYL-4-METHYL-6-[2-(4-METHYLPIPERAZIN-1-YL)-2-OXOETHOXY]THIENO[2,3-B]PYRIDINE-2-CARBOXAMIDE",C19 H24 CL N5 O3 S,437.94,TYTGOXSAAQWLPJ-UHFFFAOYSA-N
,SNT,"(E)-N-(4-BENZYLPIPERAZIN-1-YL)-1-(3,5-DIMETHYL-1-PHENYL-1H-PYRAZOL-4-YL)METHANIMINE",C23 H27 N5,373.49,FOORCIAZMIWALX-JJIBRWJFSA-N
