id,lig_id,lig_name,formula,mol_weight,inchi_key
,DU1,"4-{[3-(8-CYCLOHEXYL-2,6-DIOXO-1-PROPYL-1,2,6,7-TETRAHYDRO-3H-PURIN-3-YL)PROPYL]CARBAMOYL}BENZENE-1-SULFONYL FLUORIDE",C24 H30 F N5 O5 S,519.59,KAJVJPLKXGLLDA-UHFFFAOYSA-N
,8D1,"5-AMINO-N-[(2-METHOXYPHENYL)METHYL]-2-(3-METHYLPHENYL)-2H-1,2,3-TRIAZOLE-4-CARBOXIMIDAMIDE",C18 H20 N6 O,336.39,UJHUYWLZLDBDSR-UHFFFAOYSA-N
,8ES,"N-BENZYL-N-(2-ETHYL-4-OXO-3-{[2'-(2H-TETRAZOL-5-YL)[1,1'-BIPHENYL]-4-YL]METHYL}-3,4-DIHYDROQUINAZOLIN-6-YL)THIOPHENE-2-CARBOXAMIDE",C36 H29 N7 O2 S,623.73,KDPHUUTUDFDLBT-UHFFFAOYSA-N
,8EM,"N-[(FURAN-2-YL)METHYL]-N-(4-OXO-2-PROPYL-3-{[2'-(2H-TETRAZOL-5-YL)[1,1'-BIPHENYL]-4-YL]METHYL}-3,4-DIHYDROQUINAZOLIN-6-YL)BENZAMIDE",C37 H31 N7 O3,621.69,SYDVEZUPFQXMSM-UHFFFAOYSA-N
,89F,"1-METHYL-4-[(5~{S})-3-METHYLSULFANYL-5,6-DIHYDROBENZO[B][1]BENZOTHIEPIN-5-YL]PIPERAZINE",C20 H24 N2 S2,356.55,RLJFTICUTYVZDG-SFHVURJKSA-N
,836,N-METHYL-N-[1-[4-(2-METHYLPYRAZOL-3-YL)PHTHALAZIN-1-YL]PIPERIDIN-4-YL]-4-NITRO-2-(TRIFLUOROMETHYL)BENZAMIDE,C26 H24 F3 N7 O3,539.51,ZDEZQXNVPSUJHK-UHFFFAOYSA-N
,200,4-CHLORO-L-PHENYLALANINE,C9 H10 CL N O2,199.63,NIGWMJHCCYYCSF-QMMMGPOBSA-N
,ALC,2-AMINO-3-CYCLOHEXYL-PROPIONIC ACID,C9 H17 N O2,171.24,ORQXBVXKBGUSBA-QMMMGPOBSA-N
,HRG,L-HOMOARGININE,C7 H16 N4 O2,188.23,QUOGESRFPZDMMT-YFKPBYRVSA-N
,NLE,NORLEUCINE,C6 H13 N O2,131.17,LRQKBLKVPFOOQJ-YFKPBYRVSA-N
,OIC,OCTAHYDROINDOLE-2-CARBOXYLIC ACID,C9 H15 N O2,169.22,CQYBNXGHMBNGCG-FXQIFTODSA-N
,97Y,"N-{4-[(R)-(3,3-DIMETHYLCYCLOBUTYL)({6-[4-(TRIFLUOROMETHYL)-1H-IMIDAZOL-1-YL]PYRIDIN-3-YL}AMINO)METHYL]BENZENE-1-CARBONYL}-BETA-ALANINE",C26 H28 F3 N5 O3,515.53,MYZIDYJMNWEJMC-QHCPKHFHSA-N
,CSD,3-SULFINOALANINE,C3 H7 N O4 S,153.16,ADVPTQAUNPRNPO-REOHCLBHSA-N
,97V,4-{[(4-CYCLOHEXYLPHENYL){[3-(METHYLSULFONYL)PHENYL]CARBAMOYL}AMINO]METHYL}-N-(1H-TETRAZOL-5-YL)BENZAMIDE,C29 H31 N7 O4 S,573.67,PPTKULJUDJWTSA-UHFFFAOYSA-N
,SEP,PHOSPHOSERINE,C3 H8 N O6 P,185.07,BZQFBWGGLXLEPQ-REOHCLBHSA-N
,TPO,PHOSPHOTHREONINE,C4 H10 N O6 P,199.1,USRGIUJOYOXOQJ-GBXIJSLDSA-N
,AQD,NEMONAPRIDE,C21 H26 CL N3 O2,387.9,KRVOJOCLBAAKSJ-RDTXWAMCSA-N
,7MA,N-ETHYL-2-[(6-METHOXYPYRIDIN-3-YL)-(2-METHYLPHENYL)SULFONYL-AMINO]-N-(PYRIDIN-3-YLMETHYL)ETHANAMIDE,C23 H26 N4 O4 S,454.54,KJPHTXTWFHVJIG-UHFFFAOYSA-N
,8VS,4-CARBAMOYL-N-[(2R)-2-CYCLOHEXYL-2-PHENYLACETYL]-L-PHENYLALANYL-3-BROMO-N-METHYL-L-PHENYLALANINAMIDE,C34 H39 BR N4 O4,647.6,MZHSBVCCCRUZKX-DTXPUJKBSA-N
,K87,"3-[6-[(4-TERT-BUTYLPHENYL)SULFONYLAMINO]-5-(2-METHOXYPHENOXY)-2-PYRIMIDIN-2-YL-PYRIMIDIN-4-YL]OXY-N-(2,6-DIMETHYLPHENYL)PROPANAMIDE",C36 H38 N6 O6 S,682.79,MTNFANNLCUMCNB-UHFFFAOYSA-N
,SAR,SARCOSINE,C3 H7 N O2,89.09,FSYKKLYZXJSNPZ-UHFFFAOYSA-N
,K86,4-TERT-BUTYL-N-[6-(2-HYDROXYETHYLOXY)-5-(2-METHOXYPHENOXY)-2-PYRIMIDIN-2-YL-PYRIMIDIN-4-YL]BENZENESULFONAMIDE,C27 H29 N5 O6 S,551.61,GJPICJJJRGTNOD-UHFFFAOYSA-N
,8D0,"(6AR,9R,10AR)-3-(8-AZANYL-2-METHYL-OCTAN-2-YL)-9-(HYDROXYMETHYL)-6,6-DIMETHYL-6A,7,8,9,10,10A-HEXAHYDROBENZO[C]CHROMEN-1-OL",C25 H41 N O3,403.6,IMRFQPBRZWXESL-MISYRCLQSA-N
,8D3,"(6AR,10AR)-3-(8-BROMANYL-2-METHYL-OCTAN-2-YL)-6,6,9-TRIMETHYL-6A,7,10,10A-TETRAHYDROBENZO[C]CHROMEN-1-OL",C25 H37 BR O2,449.46,SZDVFUZKFPGYEK-WOJBJXKFSA-N
,8VL,4-[2-[[(2R)-2-(4-BROMANYLNAPHTHALEN-1-YL)PROPANOYL]AMINO]-4-CYANO-PHENYL]BUTANOIC ACID,C24 H21 BR N2 O3,465.34,MCJIJRUBPRBSIT-OAHLLOKOSA-N
,7UR,4-[4-CYANO-2-[[(2R)-2-(4-FLUORANYLNAPHTHALEN-1-YL)PROPANOYL]AMINO]PHENYL]BUTANOIC ACID,C24 H21 F N2 O3,404.43,MTDIMKNAJUQTIO-OAHLLOKOSA-N
,9AF,"DIMETHYL 4-{3-[({3-[4-(3-METHOXYPHENYL)PIPERIDIN-1-YL]PROPYL}CARBAMOYL)AMINO]PHENYL}-2,6-DIMETHYL-1,4-DIHYDROPYRIDINE-3,5-DICARBOXYLATE",C33 H42 N4 O6,590.71,WMYSXJSJXZFODY-UHFFFAOYSA-N
,9AO,N~2~-(DIPHENYLACETYL)-N-[(4-HYDROXYPHENYL)METHYL]-N~5~-(N'-{[2-(PROPANOYLAMINO)ETHYL]CARBAMOYL}CARBAMIMIDOYL)-D-ORNITHINAMIDE,C33 H41 N7 O5,615.72,VQHNWOOVOKYJNL-HHHXNRCGSA-N
,9EC,"(1R,2R,4S,5S,7S)-7-({[4-FLUORO-2-(THIOPHEN-2-YL)PHENYL]CARBAMOYL}OXY)-9,9-DIMETHYL-3-OXA-9-AZATRICYCLO[3.3.1.0~2,4~]NONAN-9-IUM",C20 H22 F N2 O3 S 1,389.46,YBYUWXNCRPKGOH-ADYDWEGLSA-O
,82F,"N-[2-[(2S)-2-[(DIPROPYLAMINO)METHYL]PIPERIDIN-1-YL]ETHYL]-6-OXIDANYLIDENE-5H-PYRIDO[2,3-B][1,4]BENZODIAZEPINE-11-CARBOXAMIDE",C27 H38 N6 O2,478.63,MZDYABXXPZNUCT-NRFANRHFSA-N
,9ER,"N1,N1-DIMETHYL-N2-[(PYRIDIN-3-YL)METHYL]-N2-{4-[2,4,6-TRI(PROPAN-2-YL)PHENYL]-1,3-THIAZOL-2-YL}ETHANE-1,2-DIAMINE",C28 H40 N4 S,464.71,VVBFISAUNSXQGZ-UHFFFAOYSA-N
,9EU,"4-ETHYNYL-3-{3-FLUORO-4-[(2-METHYL-1H-IMIDAZO[4,5-C]PYRIDIN-1-YL)METHYL]BENZENE-1-CARBONYL}-N,N-DIMETHYL-1H-INDOLE-1-CARBOXAMIDE",C28 H22 F N5 O2,479.51,GDLNHSUSOZEAOR-UHFFFAOYSA-N
,P2E,"(Z)-7-[(1R,2R,3R)-3-HYDROXY-2-[(E,3S)-3-HYDROXYOCT-1-ENYL]-5-OXO-CYCLOPENTYL]HEPT-5-ENOIC ACID",C20 H32 O5,352.46,XEYBRNLFEZDVAW-ARSRFYASSA-N
,POV,(2S)-3-(HEXADECANOYLOXY)-2-[(9Z)-OCTADEC-9-ENOYLOXY]PROPYL 2-(TRIMETHYLAMMONIO)ETHYL PHOSPHATE,C42 H82 N O8 P,760.08,WTJKGGKOPKCXLL-PFDVCBLKSA-N
,A4R,"N-[(1S)-3-{(3-EXO)-3-[3-METHYL-5-(PROPAN-2-YL)-4H-1,2,4-TRIAZOL-4-YL]-8-AZABICYCLO[3.2.1]OCTAN-8-YL}-1-(THIOPHEN-2-YL)PROPYL]CYCLOPENTANECARBOXAMIDE",C26 H39 N5 O S,469.69,FKHCEPANSGYZPM-BJESRGMDSA-N
,NO3,NITRATE ION,N O3 -1,62.01,NHNBFGGVMKEFGY-UHFFFAOYSA-N
,A4X,"4,4-DIFLUORO-N-[(1S)-3-{(3-EXO)-3-[3-METHYL-5-(PROPAN-2-YL)-4H-1,2,4-TRIAZOL-4-YL]-8-AZABICYCLO[3.2.1]OCTAN-8-YL}-1-(THIOPHEN-3-YL)PROPYL]CYCLOHEXANE-1-CARBOXAMIDE",C27 H39 F2 N5 O S,519.69,KESMRFWRGXZDEF-KIHHCIJBSA-N
,CVV,"N-[(5ALPHA,6BETA)-17-(CYCLOPROPYLMETHYL)-3-HYDROXY-7,8-DIDEHYDRO-4,5-EPOXYMORPHINAN-6-YL]-3-IODOBENZAMIDE",C27 H27 I N2 O3,554.42,WTIFKSFIQUZRRN-JXGKSYOJSA-N
,E2J,"6-(2-{4-[BIS(4-FLUOROPHENYL)METHYLIDENE]PIPERIDIN-1-YL}ETHYL)-7-METHYL-5H-[1,3]THIAZOLO[3,2-A]PYRIMIDIN-5-ONE",C27 H25 F2 N3 O S,477.57,JUQLTPCYUFPYKE-UHFFFAOYSA-N
,ORN,L-ORNITHINE,C5 H12 N2 O2,132.16,AHLPHDHHMVZTML-BYPYZUCNSA-N
,ZAL,3-CYCLOHEXYL-D-ALANINE,C9 H17 N O2,171.24,ORQXBVXKBGUSBA-MRVPVSSYSA-N
,EFD,AVACOPAN,C33 H35 F4 N3 O2,581.64,PUKBOVABABRILL-YZNIXAGQSA-N
,8NU,"3-[2-[4-(6-FLUORANYL-1,2-BENZOXAZOL-3-YL)PIPERIDIN-1-YL]ETHYL]-2-METHYL-6,7,8,9-TETRAHYDROPYRIDO[1,2-A]PYRIMIDIN-4-ONE",C23 H27 F N4 O2,410.48,RAPZEAPATHNIPO-UHFFFAOYSA-N
,FSY,FEVIPIPRANT,C19 H17 F3 N2 O4 S,426.41,GFPPXZDRVCSVNR-UHFFFAOYSA-N
,PGO,"S-1,2-PROPANEDIOL",C3 H8 O2,76.09,DNIAPMSPPWPWGF-VKHMYHEASA-N
,FT4,"[(3R)-3-{[(4-FLUOROPHENYL)SULFONYL](METHYL)AMINO}-1,2,3,4-TETRAHYDRO-9H-CARBAZOL-9-YL]ACETIC ACID",C21 H21 F N2 O4 S,416.47,CANCTKXGRVNXFP-OAHLLOKOSA-N
,DAL,D-ALANINE,C3 H7 N O2,89.09,QNAYBMKLOCPYGJ-UWTATZPHSA-N
,ETA,ETHANOLAMINE,C2 H7 N O,61.08,HZAXFHJVJLSVMW-UHFFFAOYSA-N
,MEA,N-METHYLPHENYLALANINE,C10 H13 N O2,179.22,SCIFESDRCALIIM-VIFPVBQESA-N
,H8G,"N,N-DIETHYL-N'-[(8ALPHA)-6-METHYL-9,10-DIDEHYDROERGOLIN-8-YL]UREA",C20 H26 N4 O,338.45,BKRGVLQUQGGVSM-KBXCAEBGSA-N
,H8D,"(8BETA)-N-[(2S)-1-HYDROXYBUTAN-2-YL]-6-METHYL-9,10-DIDEHYDROERGOLINE-8-CARBOXAMIDE",C20 H25 N3 O2,339.43,UNBRKDKAWYKMIV-QWQRMKEZSA-N
,H8J,"(8ALPHA)-N-[(2S)-1-HYDROXYBUTAN-2-YL]-1,6-DIMETHYL-9,10-DIDEHYDROERGOLINE-8-CARBOXAMIDE",C21 H27 N3 O2,353.46,KPJZHOPZRAFDTN-ZRGWGRIASA-N
,H8M,"(1S)-1-[(2-CHLORO-3,4-DIMETHOXYPHENYL)METHYL]-6-METHYL-2,3,4,9-TETRAHYDRO-1H-BETA-CARBOLINE",C21 H23 CL N2 O2,370.87,NJLHHCITDFZZSE-KRWDZBQOSA-N
,L76,"1-(4-{[(2R,3S)-2-{(1R)-1-[3,5-BIS(TRIFLUOROMETHYL)PHENYL]ETHOXY}-3-(4-FLUOROPHENYL)MORPHOLIN-4-YL]METHYL}-1H-1,2,3-TRIAZOL-5-YL)-N,N-DIMETHYLMETHANAMINE",C26 H28 F7 N5 O2,575.52,USRYEHHMJIRICK-ZNZBMKLDSA-N
,D7W,1-(3-CHLOROPHENYL)-3-(3-METHYL-5-OXIDANYLIDENE-4~{H}-IMIDAZOL-2-YL)UREA,C11 H11 CL N4 O2,266.68,DWPQODZAOSWNHB-UHFFFAOYSA-N
,D8B,2-[2-(3-METHOXYPHENYL)ETHYNYL]-6-METHYL-PYRIDINE,C15 H13 N O,223.27,STDHINPODVHROK-UHFFFAOYSA-N
,ACY,ACETIC ACID,C2 H4 O2,60.05,QTBSBXVTEAMEQO-UHFFFAOYSA-N
,FUC,ALPHA-L-FUCOSE,C6 H12 O5,164.16,SHZGCJCMOBCMKK-SXUWKVJYSA-N
,AC5,1-AMINOCYCLOPENTANECARBOXYLIC ACID,C6 H11 N O2,129.16,NILQLFBWTXNUOE-UHFFFAOYSA-N
,AIB,ALPHA-AMINOISOBUTYRIC ACID,C4 H9 N O2,103.12,FUOOLUPWFVMBKG-UHFFFAOYSA-N
,DOK,"(2~{S})-2-(4-CHLOROPHENYL)-3-METHYL-1-SPIRO[1,3-BENZODIOXOLE-2,4'-PIPERIDINE]-1'-YL-BUTAN-1-ONE",C22 H24 CL N O3,385.88,UDAMUOKENMUCKG-FQEVSTJZSA-N
,DO5,"(2~{R},3~{R})-2-(4-CHLOROPHENYL)-3-OXIDANYL-1-SPIRO[1,3-BENZODIOXOLE-2,4'-PIPERIDINE]-1'-YL-BUTAN-1-ONE",C21 H22 CL N O4,387.86,GYIGPNZLXGKQBD-KUHUBIRLSA-N
,DNZ,"(2~{R},3~{S})-3-AZANYL-2-(4-CHLOROPHENYL)-1-SPIRO[1,3-BENZODIOXOLE-2,4'-PIPERIDINE]-1'-YL-BUTAN-1-ONE",C21 H23 CL N2 O3,386.87,WRVOICVPIQQYTO-LIRRHRJNSA-N
,DNK,"(2~{S})-3-METHYL-2-PHENYL-1-SPIRO[1,3-BENZODIOXOLE-2,4'-PIPERIDINE]-1'-YL-BUTAN-1-ONE",C22 H25 N O3,351.44,RWIUNGUJHWADDD-FQEVSTJZSA-N
,DN5,"(2~{S})-2-(3,4-DICHLOROPHENYL)-3-METHYL-1-SPIRO[1,3-BENZODIOXOLE-2,4'-PIPERIDINE]-1'-YL-BUTAN-1-ONE",C22 H23 CL2 N O3,420.33,QFUKMLGGPINITQ-FQEVSTJZSA-N
,DLH,"2-(4-CHLOROPHENYL)-1-SPIRO[1,3-BENZODIOXOLE-2,4'-PIPERIDINE]-1'-YL-ETHANONE",C19 H18 CL N O3,343.8,FYEGABNDKDAYPJ-UHFFFAOYSA-N
,DLB,"3-[1'-[(2~{S})-2-(4-CHLOROPHENYL)-3-METHYL-BUTANOYL]SPIRO[1,3-BENZODIOXOLE-2,4'-PIPERIDINE]-5-YL]PROPANOIC ACID",C25 H28 CL N O5,457.95,OHAKQPWAEANPAJ-QHCPKHFHSA-N
,DL2,"5-CHLORANYL-2-(2-OXIDANYLIDENE-2-SPIRO[1,3-BENZODIOXOLE-2,4'-PIPERIDINE]-1'-YL-ETHYL)-3~{H}-PYRIDIN-6-ONE",C18 H17 CL N2 O4,360.79,PBLFEEIOVIDZSW-UHFFFAOYSA-N
,EP5,2-[5-[2-[4-(4-CYANOPHENYL)PIPERAZIN-1-YL]-2-OXIDANYLIDENE-ETHOXY]-1~{H}-INDOL-3-YL]ETHYLAZANIUM,C23 H26 N5 O2 1,404.48,SOHCKWZVTCTQBG-UHFFFAOYSA-O
,F7N,"[(3~{S},4~{S})-3-METHOXYOXAN-4-YL]-[(1~{R},3~{S})-3-PROPAN-2-YL-3-[[3-(TRIFLUOROMETHYL)-7,8-DIHYDRO-5~{H}-1,6-NAPHTHYRIDIN-6-YL]CARBONYL]CYCLOPENTYL]AZANIUM",C24 H35 F3 N3 O3 1,470.55,MTMDXAIUENDNDL-RJSMDTJLSA-O
,FVK,~{N}-[2-[[(2~{S})-2-OXIDANYL-3-(4-OXIDANYLPHENOXY)PROPYL]AMINO]ETHYL]MORPHOLINE-4-CARBOXAMIDE,C16 H25 N3 O5,339.39,DXPOSRCHIDYWHW-AWEZNQCLSA-N
,H98,~{N}-[5-[(1~{R})-2-[[(2~{R})-1-(4-METHOXYPHENYL)PROPAN-2-YL]AMINO]-1-OXIDANYL-ETHYL]-2-OXIDANYL-PHENYL]METHANAMIDE,C19 H24 N2 O4,344.4,BPZSYCZIITTYBL-YJYMSZOUSA-N
,A8X,"3-[(3R)-3-[(4-FLUOROPHENYL)SULFONYLAMINO]-1,2,3,4-TETRAHYDROCARBAZOL-9-YL]PROPANOIC ACID",C21 H21 F N2 O4 S,416.47,LDXDSHIEDAPSSA-OAHLLOKOSA-N
,A90,2-[4-[2-[(4-CHLOROPHENYL)SULFONYLAMINO]ETHYL]PHENYL]ETHANOIC ACID,C16 H16 CL N O4 S,353.82,IULOBWFWYDMECP-UHFFFAOYSA-N
,J9P,"(11ALPHA,12ALPHA,13E,16S)-11,16-DIHYDROXY-16-METHYL-9-OXOPROST-13-EN-1-OIC ACID",C21 H36 O5,368.51,CNWGPXZGIIOYDL-AGRNYGATSA-N
,A2G,N-ACETYL-2-DEOXY-2-AMINO-GALACTOSE,C8 H15 N O6,221.21,OVRNDRQMDRJTHS-CBQIKETKSA-N
,TYS,O-SULFO-L-TYROSINE,C9 H11 N O6 S,261.25,CIQHWLTYGMYQQR-QMMMGPOBSA-N
,K5Y,SALMETEROL,C25 H37 N O4,415.57,GIIZNNXWQWCKIB-VWLOTQADSA-N
,MG,MAGNESIUM ION,MG 2,24.31,JLVVSXFLKOJNIY-UHFFFAOYSA-N
,NI,NICKEL (II) ION,NI 2,58.69,VEQPNABPJHWNSG-UHFFFAOYSA-N
,P33,"3,6,9,12,15,18-HEXAOXAICOSANE-1,20-DIOL",C14 H30 O8,326.38,XPJRQAIZZQMSCM-UHFFFAOYSA-N